user_ref,timestamp,ip_address,device_id,phone,address,email,full_name,nationality,date_of_birth,login_success,liveness_status,document_path,document_hash,document_phash,document_anomaly,document_name,label,campaign_id,attack_category
CORP-EASY-0017,2026-04-16T12:16:13Z,198.51.100.120,DEV-FF2A,+92529039533,"17 Birchwood Ave, Lakeside",dana.novak87@proton.me,Dana Novak,Pakistan,2004-09-26,true,PASS,,,,,,LEGITIMATE,,
KIOSK-EASY-0024,2026-04-18T23:48:13Z,198.51.100.16,DEV-9EDB,+91512504281,"357 Willow Court, Lakeside",amira.reyes265@proton.me,Amira Reyes,India,2002-09-04,true,PASS,,,,,,LEGITIMATE,,
SYNB-EASY-0041,2026-04-23T14:33:05Z,203.0.113.109,DEV-E618,+63518797080,"267 Harbor View, Fairview",nadia.cheng93@gmail.com,Nadia Cheng,Philippines,1966-01-10,true,PASS,,,,,,SYNTHETIC_IDENTITY,SYN-DEVICE-EASY-0038,SYNTHETIC_IDENTITY
VICTIM-62943-0000,2026-04-23T09:40:18Z,203.0.113.66,DEV-6643,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-EASY-0032,CREDENTIAL_STUFFING
CORP-EASY-0016,2026-04-16T12:11:13Z,198.51.100.120,DEV-BA65,+20558328283,"296 Meadow Lane, Northgate",jonas.kowalski118@proton.me,Jonas Kowalski,Egypt,1997-02-20,true,PASS,,,,,,LEGITIMATE,,
SYNA-EASY-0035,2026-04-23T10:33:05Z,203.0.113.68,DEV-DCE0,+971553967870,"394 Union Square, Lakeside",ben.ibori279@gmail.com,Ben Ibori,India,1983-08-02,true,PASS,,,,,,SYNTHETIC_IDENTITY,SYN-PHONE-EASY-0033,SYNTHETIC_IDENTITY
VICTIM-58703-0012,2026-04-23T09:41:03Z,203.0.113.66,DEV-6643,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-EASY-0032,CREDENTIAL_STUFFING
MOBILE-EASY-0031,2026-04-23T06:00:13Z,203.0.113.105,DEV-6438,+44555544486,"137 Harbor View, Fairview",hassan.voss149@proton.me,Hassan Voss,UK,1978-10-05,true,PASS,,,,,,LEGITIMATE,,
MULTIDEV-EASY-0010,2026-04-07T11:01:13Z,198.51.100.65,DEV-6A97,+971539912163,"46 Harbor View, Lakeside",lucia.reyes153@icloud.com,Lucia Reyes,UAE,1973-12-05,true,PASS,,,,,,LEGITIMATE,,
TRAVEL-EASY-0009,2026-03-28T11:01:13Z,203.0.113.89,DEV-8828,+63584054987,"43 Meadow Lane, Lakeside",ethan.abdallah889@proton.me,Ethan Abdallah,Philippines,1985-08-24,true,PASS,,,,,,LEGITIMATE,,
LEG-EASY-0006,2026-03-18T00:01:13Z,198.51.100.172,DEV-8BB5,+92543640199,"255 Union Square, Riverbend",noura.abdallah992@icloud.com,Noura Abdallah,Pakistan,1993-06-19,true,PASS,,,,,,LEGITIMATE,,
DOCF-EASY-0045,2026-04-23T16:11:05Z,198.51.100.185,DEV-8248,+44524047667,"258 Birchwood Ave, Fairview",maya.voss354@gmail.com,Maya Voss,UK,1970-08-20,true,PASS,documents/forged_easy_recompressed_stripped.jpg,,,,,DOCUMENT_FRAUD,DOC-FRAUD-EASY-0043,DOCUMENT_FRAUD
CORP-EASY-0018,2026-04-16T12:40:13Z,198.51.100.120,DEV-135C,+92521379844,"349 Cedar Path, Riverbend",noura.novak830@gmail.com,Noura Novak,Pakistan,1998-11-27,true,PASS,,,,,,LEGITIMATE,,
KIOSK-EASY-0025,2026-04-19T15:48:13Z,198.51.100.16,DEV-9EDB,+971550031974,"171 Cedar Path, Lakeside",cole.abdallah487@gmail.com,Cole Abdallah,UAE,1995-01-15,true,PASS,,,,,,LEGITIMATE,,
SYNB-EASY-0039,2026-04-23T12:36:05Z,203.0.113.75,DEV-E618,+20548397289,"179 Coral Drive, Riverbend",lucia.voss345@gmail.com,Lucia Voss,Egypt,1984-10-10,true,PASS,,,,,,SYNTHETIC_IDENTITY,SYN-DEVICE-EASY-0038,SYNTHETIC_IDENTITY
LEG-EASY-0004,2026-03-11T19:01:13Z,198.51.100.38,DEV-5509,+63585968253,"223 Union Square, Lakeside",ethan.kowalski243@gmail.com,Ethan Kowalski,Philippines,1971-02-01,true,PASS,,,,,,LEGITIMATE,,
DOCF-EASY-0044,2026-04-23T15:52:05Z,198.51.100.73,DEV-BD0C,+44556819333,"214 Willow Court, Riverbend",miles.voss338@icloud.com,Miles Voss,UK,1997-05-01,true,PASS,documents/forged_easy_resized.jpg,,,,,DOCUMENT_FRAUD,DOC-FRAUD-EASY-0043,DOCUMENT_FRAUD
