user_ref,timestamp,ip_address,device_id,phone,address,email,full_name,nationality,date_of_birth,login_success,liveness_status,document_path,document_hash,document_phash,document_anomaly,document_name,label,campaign_id,attack_category
VICTIM-33162-0010,2026-04-29T05:32:23Z,203.0.113.34,DEV-D232,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-HARD-0039,CREDENTIAL_STUFFING
TRAVEL-HARD-0007,2026-03-21T00:02:36Z,203.0.113.177,DEV-AFAC,+44520148056,"72 Cedar Path, Northgate",miles.novak489@gmail.com,Miles Novak,UK,1978-12-08,true,PASS,,,,,,LEGITIMATE,,
KIOSK-HARD-0028,2026-04-20T07:26:36Z,198.51.100.22,DEV-2630,+971514940860,"222 Cedar Path, Northgate",fadi.reyes171@outlook.com,Fadi Reyes,UAE,1988-03-26,true,PASS,,,,,,LEGITIMATE,,
VICTIM-54001-0004,2026-04-29T15:56:23Z,203.0.113.184,DEV-1A19,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
CORP-HARD-0016,2026-04-14T18:34:36Z,198.51.100.180,DEV-4887,+971560683676,"149 Harbor View, Lakeside",dana.cheng167@outlook.com,Dana Cheng,UAE,1969-04-26,true,PASS,,,,,,LEGITIMATE,,
VICTIM-26817-0003,2026-04-29T05:31:51Z,203.0.113.34,DEV-D232,,,,,,,true,,,,,,,CREDENTIAL_STUFFING,CS-BURST-HARD-0039,CREDENTIAL_STUFFING
CORP-HARD-0015,2026-04-14T18:17:36Z,198.51.100.180,DEV-90DF,+971523404861,"146 Union Square, Fairview",priya.delgado509@gmail.com,Priya Delgado,UAE,2002-10-18,true,PASS,,,,,,LEGITIMATE,,
SYNB-HARD-0051,2026-05-06T21:53:23Z,203.0.113.162,DEV-E807,+971511728587,"214 Union Square, Riverbend",lucia.ibori514@proton.me,Lucia Ibori,UAE,1974-02-23,true,PASS,,,,,,SYNTHETIC_IDENTITY,SYN-DEVICE-HARD-0050,SYNTHETIC_IDENTITY
VICTIM-15929-0008,2026-05-06T08:09:23Z,203.0.113.236,DEV-74D9,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
VICTIM-8528-0007,2026-04-29T16:18:23Z,203.0.113.96,DEV-7615,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
VICTIM-18645-0010,2026-04-29T05:46:06Z,203.0.113.28,DEV-619C,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-MIXED-HARD-0041,CREDENTIAL_STUFFING
LEG-HARD-0004,2026-03-13T12:02:08Z,198.51.100.30,DEV-9D81,+63509918635,"78 Union Square, Lakeside",dana.ibori944@outlook.com,Dana Ibori,Philippines,1979-09-08,true,PASS,,,,,,LEGITIMATE,,
VICTIM-6297-0018,2026-04-29T18:09:23Z,203.0.113.116,DEV-7F73,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
VICTIM-44164-0011,2026-04-29T16:56:23Z,203.0.113.66,DEV-B14D,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
VICTIM-724-0013,2026-04-29T17:14:23Z,203.0.113.84,DEV-1530,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
VICTIM-60928-0015,2026-04-29T05:32:48Z,203.0.113.34,DEV-D232,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-HARD-0039,CREDENTIAL_STUFFING
VICTIM-5647-0008,2026-04-29T13:37:23Z,203.0.113.109,DEV-7D21,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SLOW-HARD-0042,CREDENTIAL_STUFFING
SYND-DECOY-HARD-0069,2026-05-08T15:53:23Z,203.0.113.182,DEV-ADCF,+971553401871,"226 Willow Court, Northgate",maya.delgado599@proton.me,Maya Delgado,UAE,1977-09-18,true,PASS,,,,,,SYNTHETIC_IDENTITY,SYN-SPARSE-HARD-0065,SYNTHETIC_IDENTITY
VICTIM-60922-0000,2026-04-29T06:24:23Z,203.0.113.109,DEV-9590,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SLOW-HARD-0042,CREDENTIAL_STUFFING
SYND-HARD-0067,2026-05-07T19:53:23Z,203.0.113.56,DEV-3840,+971569487185,"192 Coral Drive, Lakeside",tarek.abdallah97@gmail.com,Tarek Abdallah,UAE,1984-02-26,true,PASS,,,,,,SYNTHETIC_IDENTITY,SYN-SPARSE-HARD-0065,SYNTHETIC_IDENTITY
VICTIM-61773-0002,2026-04-29T05:38:10Z,203.0.113.39,DEV-1EA7,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-DIST-HARD-0040,CREDENTIAL_STUFFING
DOCL-HARD-0086,2026-05-19T11:44:23Z,198.51.100.23,DEV-E874,+91533250504,"170 Coral Drive, Lakeside",dana.reyes95@outlook.com,Dana Reyes,India,1975-06-18,true,PASS,documents/legit_hard_brightness_contrast.jpg,,,,,LEGITIMATE,,
VICTIM-50768-0004,2026-04-29T05:31:55Z,203.0.113.34,DEV-D232,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-HARD-0039,CREDENTIAL_STUFFING
KIOSK-HARD-0027,2026-04-19T17:26:36Z,198.51.100.22,DEV-2630,+971581265397,"397 Founders Row, Northgate",theo.petrov65@icloud.com,Theo Petrov,UAE,1997-06-18,true,PASS,,,,,,LEGITIMATE,,
VICTIM-19781-0002,2026-04-29T05:31:46Z,203.0.113.34,DEV-D232,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-HARD-0039,CREDENTIAL_STUFFING
VICTIM-53358-0004,2026-04-29T05:45:47Z,203.0.113.28,DEV-BCA0,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-MIXED-HARD-0041,CREDENTIAL_STUFFING
VICTIM-41297-0006,2026-05-01T10:09:23Z,203.0.113.220,DEV-95F1,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
VICTIM-8661-0011,2026-04-29T05:32:28Z,203.0.113.34,DEV-D232,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-HARD-0039,CREDENTIAL_STUFFING
LEG-HARD-0002,2026-03-08T21:00:00Z,198.51.100.159,DEV-9247,+20556095004,"72 Harbor View, Riverbend",fadi.cheng124@icloud.com,Fadi Cheng,Egypt,2004-03-25,true,PASS,,,,,,LEGITIMATE,,
VICTIM-54110-0004,2026-05-03T14:09:23Z,203.0.113.166,DEV-48B7,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
VICTIM-65008-0009,2026-04-29T05:32:19Z,203.0.113.34,DEV-D232,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-BURST-HARD-0039,CREDENTIAL_STUFFING
LEG-HARD-0002,2026-03-08T16:00:00Z,198.51.100.159,DEV-9247,+20556095004,"72 Harbor View, Riverbend",fadi.cheng124@icloud.com,Fadi Cheng,Egypt,2004-03-25,true,PASS,,,,,,LEGITIMATE,,
SYNE-HARD-0073,2026-05-15T01:53:23Z,203.0.113.173,DEV-2F46,+91546430728,"132 Founders Row, Fairview",reem.abdallah406@outlook.com,Reem Abdallah,India,1976-10-18,true,PASS,,,,,,SYNTHETIC_IDENTITY,SYN-ROTATE-HARD-0071,SYNTHETIC_IDENTITY
VICTIM-54905-0014,2026-04-29T05:46:23Z,203.0.113.28,DEV-403B,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-MIXED-HARD-0041,CREDENTIAL_STUFFING
VICTIM-59006-0010,2026-04-29T16:42:23Z,203.0.113.213,DEV-4FCD,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
VICTIM-52376-0008,2026-04-29T05:38:56Z,203.0.113.88,DEV-3EEB,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-DIST-HARD-0040,CREDENTIAL_STUFFING
MOBILE-HARD-0031,2026-04-22T08:02:36Z,203.0.113.207,DEV-18A8,+20508886986,"224 Birchwood Ave, Northgate",owen.delgado409@outlook.com,Owen Delgado,Egypt,1985-12-22,true,PASS,,,,,,LEGITIMATE,,
VICTIM-13937-0020,2026-04-29T05:40:18Z,203.0.113.166,DEV-2AA4,,,,,,,true,,,,,,,CREDENTIAL_STUFFING,CS-DIST-HARD-0040,CREDENTIAL_STUFFING
VICTIM-54110-0004,2026-05-05T15:09:23Z,203.0.113.63,DEV-5709,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
TRAVEL-HARD-0009,2026-03-27T20:02:36Z,203.0.113.189,DEV-3D91,+44507647564,"41 Cedar Path, Riverbend",amira.farouk456@proton.me,Amira Farouk,UK,1989-11-16,true,PASS,,,,,,LEGITIMATE,,
VICTIM-50782-0002,2026-04-29T05:45:41Z,203.0.113.28,DEV-96A2,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-MIXED-HARD-0041,CREDENTIAL_STUFFING
VICTIM-39415-0012,2026-04-29T17:10:23Z,203.0.113.31,DEV-3EA3,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
LEG-HARD-0003,2026-03-09T13:00:50Z,198.51.100.114,DEV-DFA7,+20599468735,"43 Birchwood Ave, Northgate",jonas.voss867@outlook.com,Jonas Voss,Egypt,2004-07-05,true,PASS,,,,,,LEGITIMATE,,
VICTIM-9322-0006,2026-04-29T16:05:23Z,203.0.113.163,DEV-86BB,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
LEG-HARD-0004,2026-03-12T06:02:08Z,198.51.100.30,DEV-9D81,+63509918635,"78 Union Square, Lakeside",dana.ibori944@outlook.com,Dana Ibori,Philippines,1979-09-08,true,PASS,,,,,,LEGITIMATE,,
HOUSE-HARD-0013,2026-04-14T17:39:36Z,198.51.100.162,DEV-3B60,+971553239921,"286 Cedar Path, Lakeside",theo.ibori227@gmail.com,Theo Ibori,UAE,1973-08-24,true,PASS,,,,,,LEGITIMATE,,
VICTIM-37459-0003,2026-04-29T09:05:23Z,203.0.113.109,DEV-2B89,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SLOW-HARD-0042,CREDENTIAL_STUFFING
VICTIM-34228-0015,2026-04-29T05:39:36Z,203.0.113.14,DEV-59D7,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-DIST-HARD-0040,CREDENTIAL_STUFFING
VICTIM-51069-0005,2026-05-03T18:09:23Z,203.0.113.225,DEV-319F,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
VICTIM-62184-0003,2026-05-05T12:09:23Z,203.0.113.107,DEV-9B7B,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
DOCF-HARD-0081,2026-05-19T07:53:23Z,198.51.100.21,DEV-74AA,+971586903016,"246 Union Square, Northgate",salma.ibori944@gmail.com,Salma Ibori,UAE,1971-05-10,true,PASS,documents/forged_hard_png_converted.png,,,,,DOCUMENT_FRAUD,DOC-FRAUD-HARD-0076,DOCUMENT_FRAUD
VICTIM-12111-0017,2026-04-29T18:04:23Z,203.0.113.163,DEV-D315,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-ROTATE-HARD-0043,CREDENTIAL_STUFFING
ROOMMATE-HARD-0038,2026-04-29T05:31:36Z,198.51.100.157,DEV-988A,+44532531760,"78 Meadow Lane, Riverbend",dana.delgado43@proton.me,Dana Delgado,UK,1993-06-09,true,PASS,,,,,,LEGITIMATE,,
LEG-HARD-0002,2026-03-07T23:00:00Z,198.51.100.159,DEV-9247,+20556095004,"72 Harbor View, Riverbend",fadi.cheng124@icloud.com,Fadi Cheng,Egypt,2004-03-25,true,PASS,,,,,,LEGITIMATE,,
VICTIM-15929-0008,2026-05-04T13:09:23Z,203.0.113.105,DEV-EF5C,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
MULTIDEV-HARD-0010,2026-04-07T17:02:36Z,198.51.100.155,DEV-80B6,+63546060145,"60 Cedar Path, Fairview",karan.cheng175@outlook.com,Karan Cheng,Philippines,1970-10-26,true,PASS,,,,,,LEGITIMATE,,
VICTIM-38479-0001,2026-04-29T07:08:23Z,203.0.113.109,DEV-6F12,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SLOW-HARD-0042,CREDENTIAL_STUFFING
VICTIM-30338-0001,2026-04-30T03:09:23Z,203.0.113.102,DEV-F534,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
VICTIM-41297-0006,2026-05-06T00:09:23Z,203.0.113.105,DEV-D41B,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SPRAY-HARD-0044,CREDENTIAL_STUFFING
VICTIM-18192-0001,2026-04-29T05:38:00Z,203.0.113.79,DEV-6EFE,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-DIST-HARD-0040,CREDENTIAL_STUFFING
HOUSE-HARD-0012,2026-04-14T17:07:36Z,198.51.100.162,DEV-618D,+971503349878,"286 Cedar Path, Lakeside",priya.voss143@outlook.com,Priya Voss,UAE,1981-07-12,true,PASS,,,,,,LEGITIMATE,,
VICTIM-48184-0013,2026-04-29T05:46:19Z,203.0.113.28,DEV-8499,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-MIXED-HARD-0041,CREDENTIAL_STUFFING
VICTIM-1359-0006,2026-04-29T11:43:23Z,203.0.113.109,DEV-FDAD,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-SLOW-HARD-0042,CREDENTIAL_STUFFING
LEG-HARD-0005,2026-03-17T00:02:08Z,198.51.100.132,DEV-F14E,+91523062507,"15 Coral Drive, Riverbend",nadia.cheng701@proton.me,Nadia Cheng,India,1995-06-06,true,PASS,,,,,,LEGITIMATE,,
KIOSK-HARD-0025,2026-04-18T00:26:36Z,198.51.100.22,DEV-2630,+91537393967,"140 Union Square, Riverbend",maya.reyes294@outlook.com,Maya Reyes,India,1970-07-24,true,PASS,,,,,,LEGITIMATE,,
