user_ref,timestamp,ip_address,device_id,phone,address,email,full_name,nationality,date_of_birth,login_success,liveness_status,document_path,document_hash,document_phash,document_anomaly,document_name,label,campaign_id,attack_category
KIOSK-MEDIUM-0028,2026-04-13T15:53:09Z,198.51.100.230,DEV-975D,+91560123430,"399 Harbor View, Lakeside",reem.delgado199@icloud.com,Reem Delgado,India,1984-11-26,true,PASS,,,,,,LEGITIMATE,,
NAME-MEDIUM-0025,2026-04-12T21:53:09Z,198.51.100.243,DEV-CB84,+20549697088,"346 Meadow Lane, Lakeside",grace.smith560@outlook.com,Grace Smith,Egypt,1969-08-09,true,PASS,,,,,,LEGITIMATE,,
VICTIM-65012-0014,2026-04-16T08:21:28Z,203.0.113.46,DEV-C395,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-MIXED-MEDIUM-0038,CREDENTIAL_STUFFING
KIOSK-MEDIUM-0029,2026-04-14T01:53:09Z,198.51.100.230,DEV-975D,+971534899924,"22 Union Square, Fairview",reem.cheng87@icloud.com,Reem Cheng,UAE,1968-07-11,true,PASS,,,,,,LEGITIMATE,,
HOUSE-MEDIUM-0012,2026-04-11T10:31:09Z,198.51.100.250,DEV-2DDA,+91579926650,"372 Cedar Path, Riverbend",lucia.reyes633@outlook.com,Lucia Reyes,India,1969-11-11,true,PASS,,,,,,LEGITIMATE,,
LEG-MEDIUM-0006,2026-03-12T21:02:09Z,198.51.100.185,DEV-C7E4,+92538701650,"284 Coral Drive, Lakeside",maya.voss608@icloud.com,Maya Voss,Pakistan,1996-11-24,true,PASS,,,,,,LEGITIMATE,,
VICTIM-57164-0011,2026-04-16T08:21:14Z,203.0.113.46,DEV-4C4F,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-MIXED-MEDIUM-0038,CREDENTIAL_STUFFING
LEG-MEDIUM-0001,2026-03-04T23:00:00Z,198.51.100.106,DEV-2136,+44502922031,"36 Willow Court, Lakeside",lucia.reyes771@proton.me,Lucia Reyes,UK,1974-12-08,true,PASS,,,,,,LEGITIMATE,,
VICTIM-12005-0020,2026-04-16T08:15:31Z,203.0.113.20,DEV-86E9,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-DIST-MEDIUM-0037,CREDENTIAL_STUFFING
MULTIDEV-MEDIUM-0010,2026-03-30T10:02:09Z,198.51.100.165,DEV-5070,+92500118421,"84 Harbor View, Lakeside",jonas.delgado392@icloud.com,Jonas Delgado,Pakistan,1996-01-12,true,PASS,,,,,,LEGITIMATE,,
VICTIM-16566-0011,2026-04-16T08:14:36Z,203.0.113.18,DEV-1401,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-DIST-MEDIUM-0037,CREDENTIAL_STUFFING
VICTIM-33788-0019,2026-04-16T08:15:27Z,203.0.113.75,DEV-2473,,,,,,,false,,,,,,,CREDENTIAL_STUFFING,CS-DIST-MEDIUM-0037,CREDENTIAL_STUFFING
