account_id,event_time,client_ip,device_fingerprint,mobile,mail,name,address,country,authentication_success,anomaly_score,scenario
LEGIT-001,2026-09-02T08:00:00Z,203.0.113.80,DEV-L1,+971505551111,leg1@example.com,Layla Hassan,5 Oasis Rd,UAE,true,,LEGITIMATE
LEGIT-002,2026-09-02T08:10:00Z,203.0.113.81,DEV-L2,+971505552222,leg2@example.com,Yusuf Nabil,6 Oasis Rd,UAE,true,,LEGITIMATE
LEGIT-003,2026-09-02T08:20:00Z,203.0.113.82,DEV-L3,+971505553333,leg3@example.com,Huda Karim,,,true,,LEGITIMATE
STUFF-01,2026-09-02T09:00:00Z,198.51.100.40,DEV-BOT2,,,,,,false,,CREDENTIAL_STUFFING
STUFF-02,2026-09-02T09:00:04Z,198.51.100.40,DEV-BOT2,,,,,,false,,CREDENTIAL_STUFFING
STUFF-03,2026-09-02T09:00:08Z,198.51.100.40,DEV-BOT2,,,,,,false,,CREDENTIAL_STUFFING
STUFF-04,2026-09-02T09:00:12Z,198.51.100.40,DEV-BOT2,,,,,,false,,CREDENTIAL_STUFFING
STUFF-05,2026-09-02T09:00:16Z,198.51.100.40,DEV-BOT2,,,,,,false,,CREDENTIAL_STUFFING
STUFF-06,2026-09-02T09:00:20Z,198.51.100.40,DEV-BOT2,,,,,,true,,CREDENTIAL_STUFFING
SYN-01,2026-09-02T10:00:00Z,203.0.113.90,DEV-SYN,+971505559999,syn1@example.com,Syn One,30 Ring Rd,UAE,true,,SYNTHETIC_IDENTITY
SYN-02,2026-09-02T10:01:00Z,203.0.113.91,DEV-SYN,+971505559999,syn2@example.com,Syn Two,31 Ring Rd,UAE,true,,SYNTHETIC_IDENTITY
SYN-03,2026-09-02T10:02:00Z,203.0.113.92,DEV-SYN,+971505559999,syn3@example.com,Syn Three,32 Ring Rd,UAE,true,,SYNTHETIC_IDENTITY
SYN-04,2026-09-02T10:03:00Z,203.0.113.93,DEV-SYN,+971505559999,syn4@example.com,Syn Four,33 Ring Rd,UAE,true,,SYNTHETIC_IDENTITY
DOC-FRAUD-01,2026-09-02T11:00:00Z,203.0.113.95,DEV-DF1,+971505558888,docf1@example.com,Doc Fraud,40 Doc Ave,UAE,true,26.0,DOCUMENT_FRAUD
